,timestamp,total messages,unique discoveries,opt_choice
0,1.0,1710,0.0,0.0
1,2.0,42,0.0,0.0
2,3.0,32,0.0,0.1111111111111111
3,4.0,114,17.0,0.04
4,5.0,168,20.0,0.07692307692307693
5,6.0,261,20.0,0.04444444444444444
6,7.0,322,15.0,0.05946969696969697
7,8.0,397,17.0,0.01111111111111111
8,9.0,492,17.0,0.007314678448699066
9,10.0,661,19.0,0.010470976711852624
10,11.0,678,13.0,0.08201806928222022
11,12.0,736,14.0,0.06014201342070192
12,13.0,765,16.0,0.09230699855699852
13,14.0,711,15.0,0.07716925699381834
14,15.0,736,14.0,0.06347367909867907
15,16.0,702,10.0,0.058129523899872707
16,17.0,732,8.0,0.061438748242774656
17,18.0,719,8.0,0.0996744239010542
18,19.0,716,6.0,0.08595176834211916
19,20.0,754,8.0,0.08244966698894907
